                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9450  24.6140  0.26030E+01  0.27290E+01  0.10762E-03  0.27112E+01  0.26481E+01  0.10789E-03  0.26289E+01
   10.5890   2.9450  24.6240  0.25955E+01  0.27206E+01  0.10660E-03  0.27028E+01  0.26399E+01  0.10686E-03  0.26208E+01
   10.5890   2.9450  24.6340  0.25880E+01  0.27124E+01  0.10558E-03  0.26947E+01  0.26318E+01  0.10584E-03  0.26128E+01
   10.5890   2.9450  24.6440  0.25806E+01  0.27042E+01  0.10457E-03  0.26867E+01  0.26238E+01  0.10483E-03  0.26049E+01
   10.5890   2.9450  24.6540  0.25731E+01  0.26960E+01  0.10358E-03  0.26786E+01  0.26158E+01  0.10383E-03  0.25971E+01
   10.5890   2.9450  24.6640  0.25657E+01  0.26879E+01  0.10259E-03  0.26706E+01  0.26078E+01  0.10284E-03  0.25892E+01
   10.5890   2.9450  24.6740  0.25583E+01  0.26798E+01  0.10160E-03  0.26626E+01  0.25999E+01  0.10185E-03  0.25814E+01
   10.5890   2.9450  24.6840  0.25509E+01  0.26717E+01  0.10063E-03  0.26545E+01  0.25920E+01  0.10088E-03  0.25735E+01
   10.5890   2.9450  24.6940  0.25436E+01  0.26637E+01  0.99669E-04  0.26465E+01  0.25841E+01  0.99912E-04  0.25657E+01
   10.5890   2.9450  24.7040  0.25362E+01  0.26556E+01  0.98714E-04  0.26386E+01  0.25762E+01  0.98954E-04  0.25579E+01
   10.5890   2.9450  24.7140  0.25289E+01  0.26476E+01  0.97767E-04  0.26306E+01  0.25684E+01  0.98005E-04  0.25501E+01
   10.5890   2.9450  24.7240  0.25216E+01  0.26399E+01  0.96830E-04  0.26230E+01  0.25609E+01  0.97064E-04  0.25426E+01
   10.5890   2.9450  24.7340  0.25143E+01  0.26320E+01  0.95900E-04  0.26151E+01  0.25531E+01  0.96132E-04  0.25349E+01
   10.5890   2.9450  24.7440  0.25070E+01  0.26240E+01  0.94979E-04  0.26072E+01  0.25453E+01  0.95208E-04  0.25272E+01
   10.5890   2.9450  24.7540  0.24998E+01  0.26161E+01  0.94066E-04  0.25994E+01  0.25376E+01  0.94293E-04  0.25195E+01
   10.5890   2.9450  24.7640  0.24925E+01  0.26082E+01  0.93161E-04  0.25916E+01  0.25298E+01  0.93385E-04  0.25119E+01
   10.5890   2.9450  24.7740  0.24853E+01  0.26003E+01  0.92265E-04  0.25838E+01  0.25221E+01  0.92486E-04  0.25043E+01
   10.5890   2.9450  24.7840  0.24781E+01  0.25925E+01  0.91376E-04  0.25760E+01  0.25144E+01  0.91595E-04  0.24967E+01
   10.5890   2.9450  24.7940  0.24709E+01  0.25847E+01  0.90495E-04  0.25682E+01  0.25068E+01  0.90712E-04  0.24891E+01
   10.5890   2.9450  24.8040  0.24638E+01  0.25769E+01  0.89623E-04  0.25605E+01  0.24991E+01  0.89836E-04  0.24815E+01
