***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5890   2.6200  21.0000   0.2464   3.6854  0.58074E+01  0.58073E+01  0.59645E-04  0.58074E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.6300  21.0000   0.2477   3.6994  0.57848E+01  0.57847E+01  0.59529E-04  0.57848E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.6400  21.0000   0.2489   3.7135  0.57622E+01  0.57621E+01  0.59417E-04  0.57622E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.6500  21.0000   0.2502   3.7276  0.57396E+01  0.57395E+01  0.59309E-04  0.57396E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.6600  21.0000   0.2515   3.7416  0.57170E+01  0.57170E+01  0.59205E-04  0.57170E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.6700  21.0000   0.2527   3.7557  0.56944E+01  0.56944E+01  0.59105E-04  0.56944E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.6800  21.0000   0.2540   3.7698  0.56718E+01  0.56718E+01  0.59009E-04  0.56718E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.6900  21.0000   0.2553   3.7838  0.56492E+01  0.56492E+01  0.58918E-04  0.56492E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.7000  21.0000   0.2565   3.7979  0.56267E+01  0.56266E+01  0.58830E-04  0.56267E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.7100  21.0000   0.2578   3.8120  0.56040E+01  0.56039E+01  0.58746E-04  0.56040E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.7200  21.0000   0.2591   3.8260  0.55813E+01  0.55813E+01  0.58666E-04  0.55813E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.7300  21.0000   0.2604   3.8401  0.55587E+01  0.55586E+01  0.58589E-04  0.55587E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.7400  21.0000   0.2617   3.8542  0.55360E+01  0.55360E+01  0.58517E-04  0.55360E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.7500  21.0000   0.2630   3.8682  0.55134E+01  0.55133E+01  0.58448E-04  0.55134E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.7600  21.0000   0.2643   3.8823  0.54908E+01  0.54907E+01  0.58384E-04  0.54908E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.7700  21.0000   0.2656   3.8964  0.54682E+01  0.54681E+01  0.58323E-04  0.54682E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.7800  21.0000   0.2669   3.9104  0.54456E+01  0.54455E+01  0.58265E-04  0.54456E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.7900  21.0000   0.2682   3.9245  0.54230E+01  0.54229E+01  0.58212E-04  0.54230E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.8000  21.0000   0.2695   3.9386  0.54004E+01  0.54003E+01  0.58162E-04  0.54004E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.8100  21.0000   0.2708   3.9526  0.53777E+01  0.53777E+01  0.58116E-04  0.53777E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.8200  21.0000   0.2721   3.9667  0.53551E+01  0.53551E+01  0.58074E-04  0.53551E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.8300  21.0000   0.2734   3.9808  0.53325E+01  0.53324E+01  0.58035E-04  0.53325E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.8400  21.0000   0.2747   3.9948  0.53098E+01  0.53097E+01  0.58000E-04  0.53098E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.8500  21.0000   0.2760   4.0089  0.52871E+01  0.52870E+01  0.57969E-04  0.52871E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.8600  21.0000   0.2774   4.0230  0.52644E+01  0.52644E+01  0.57942E-04  0.52644E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.8700  21.0000   0.2787   4.0370  0.52418E+01  0.52417E+01  0.57918E-04  0.52418E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.8800  21.0000   0.2800   4.0511  0.52191E+01  0.52190E+01  0.57897E-04  0.52191E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.8900  21.0000   0.2814   4.0652  0.51963E+01  0.51963E+01  0.57881E-04  0.51963E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.9000  21.0000   0.2827   4.0792  0.51736E+01  0.51735E+01  0.57868E-04  0.51736E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.9100  21.0000   0.2841   4.0933  0.51509E+01  0.51508E+01  0.57858E-04  0.51509E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.9200  21.0000   0.2854   4.1074  0.51282E+01  0.51281E+01  0.57852E-04  0.51282E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.9300  21.0000   0.2868   4.1214  0.51055E+01  0.51054E+01  0.57850E-04  0.51055E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.9400  21.0000   0.2881   4.1355  0.50828E+01  0.50827E+01  0.57852E-04  0.50828E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.9500  21.0000   0.2895   4.1496  0.50601E+01  0.50600E+01  0.57857E-04  0.50601E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.9600  21.0000   0.2908   4.1636  0.50374E+01  0.50373E+01  0.57865E-04  0.50374E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.9700  21.0000   0.2922   4.1777  0.50146E+01  0.50146E+01  0.57878E-04  0.50146E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.9800  21.0000   0.2936   4.1918  0.49919E+01  0.49918E+01  0.57893E-04  0.49919E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   2.9900  21.0000   0.2949   4.2058  0.49692E+01  0.49691E+01  0.57913E-04  0.49692E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.0000  21.0000   0.2963   4.2199  0.49465E+01  0.49464E+01  0.57936E-04  0.49465E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.0100  21.0000   0.2977   4.2340  0.49238E+01  0.49237E+01  0.57962E-04  0.49238E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.0200  21.0000   0.2991   4.2480  0.49011E+01  0.49011E+01  0.57993E-04  0.49011E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.0300  21.0000   0.3005   4.2621  0.48785E+01  0.48784E+01  0.58027E-04  0.48785E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.0400  21.0000   0.3019   4.2762  0.48558E+01  0.48558E+01  0.58064E-04  0.48558E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.0500  21.0000   0.3033   4.2902  0.48331E+01  0.48331E+01  0.58105E-04  0.48331E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.0600  21.0000   0.3047   4.3043  0.48104E+01  0.48104E+01  0.58150E-04  0.48104E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.0700  21.0000   0.3061   4.3184  0.47878E+01  0.47877E+01  0.58198E-04  0.47878E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.0800  21.0000   0.3075   4.3324  0.47651E+01  0.47651E+01  0.58250E-04  0.47651E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.0900  21.0000   0.3089   4.3465  0.47425E+01  0.47424E+01  0.58306E-04  0.47425E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.1000  21.0000   0.3103   4.3606  0.47199E+01  0.47198E+01  0.58365E-04  0.47199E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
   10.5890   3.1100  21.0000   0.3117   4.3746  0.46973E+01  0.46972E+01  0.58428E-04  0.46973E+01  0.00000E+00  0.00000E+00  0.00000E+00  0.10000E+01
