                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.3500  21.0000  0.39511E+02  0.39554E+02  0.00000E+00  0.00000E+00  0.39554E+02  0.00000E+00  0.00000E+00
   10.5890   2.3600  21.0000  0.39380E+02  0.39423E+02  0.00000E+00  0.00000E+00  0.39423E+02  0.00000E+00  0.00000E+00
   10.5890   2.3700  21.0000  0.39249E+02  0.39291E+02  0.00000E+00  0.00000E+00  0.39291E+02  0.00000E+00  0.00000E+00
   10.5890   2.3800  21.0000  0.39117E+02  0.39160E+02  0.00000E+00  0.00000E+00  0.39160E+02  0.00000E+00  0.00000E+00
   10.5890   2.3900  21.0000  0.38985E+02  0.39028E+02  0.00000E+00  0.00000E+00  0.39028E+02  0.00000E+00  0.00000E+00
   10.5890   2.4000  21.0000  0.38853E+02  0.38895E+02  0.00000E+00  0.00000E+00  0.38895E+02  0.00000E+00  0.00000E+00
   10.5890   2.4100  21.0000  0.38720E+02  0.38763E+02  0.00000E+00  0.00000E+00  0.38763E+02  0.00000E+00  0.00000E+00
   10.5890   2.4200  21.0000  0.38588E+02  0.38631E+02  0.00000E+00  0.00000E+00  0.38631E+02  0.00000E+00  0.00000E+00
   10.5890   2.4300  21.0000  0.38455E+02  0.38498E+02  0.00000E+00  0.00000E+00  0.38498E+02  0.00000E+00  0.00000E+00
   10.5890   2.4400  21.0000  0.38322E+02  0.38365E+02  0.00000E+00  0.00000E+00  0.38365E+02  0.00000E+00  0.00000E+00
   10.5890   2.4500  21.0000  0.38190E+02  0.38232E+02  0.00000E+00  0.00000E+00  0.38232E+02  0.00000E+00  0.00000E+00
   10.5890   2.4600  21.0000  0.38057E+02  0.38099E+02  0.00000E+00  0.00000E+00  0.38099E+02  0.00000E+00  0.00000E+00
   10.5890   2.4700  21.0000  0.37923E+02  0.37966E+02  0.00000E+00  0.00000E+00  0.37966E+02  0.00000E+00  0.00000E+00
   10.5890   2.4800  21.0000  0.37790E+02  0.37833E+02  0.00000E+00  0.00000E+00  0.37833E+02  0.00000E+00  0.00000E+00
   10.5890   2.4900  21.0000  0.37657E+02  0.37700E+02  0.00000E+00  0.00000E+00  0.37700E+02  0.00000E+00  0.00000E+00
   10.5890   2.5000  21.0000  0.37523E+02  0.37566E+02  0.00000E+00  0.00000E+00  0.37566E+02  0.00000E+00  0.00000E+00
   10.5890   2.5100  21.0000  0.37389E+02  0.37432E+02  0.00000E+00  0.00000E+00  0.37432E+02  0.00000E+00  0.00000E+00
   10.5890   2.5200  21.0000  0.37254E+02  0.37297E+02  0.00000E+00  0.00000E+00  0.37297E+02  0.00000E+00  0.00000E+00
   10.5890   2.5300  21.0000  0.37119E+02  0.37162E+02  0.00000E+00  0.00000E+00  0.37162E+02  0.00000E+00  0.00000E+00
   10.5890   2.5400  21.0000  0.36983E+02  0.37027E+02  0.00000E+00  0.00000E+00  0.37027E+02  0.00000E+00  0.00000E+00
   10.5890   2.5500  21.0000  0.36848E+02  0.36891E+02  0.00000E+00  0.00000E+00  0.36891E+02  0.00000E+00  0.00000E+00
   10.5890   2.5600  21.0000  0.36713E+02  0.36756E+02  0.00000E+00  0.00000E+00  0.36756E+02  0.00000E+00  0.00000E+00
   10.5890   2.5700  21.0000  0.36577E+02  0.36620E+02  0.00000E+00  0.00000E+00  0.36620E+02  0.00000E+00  0.00000E+00
   10.5890   2.5800  21.0000  0.36441E+02  0.36485E+02  0.00000E+00  0.00000E+00  0.36485E+02  0.00000E+00  0.00000E+00
   10.5890   2.5900  21.0000  0.36306E+02  0.36349E+02  0.00000E+00  0.00000E+00  0.36349E+02  0.00000E+00  0.00000E+00
   10.5890   2.6000  21.0000  0.36170E+02  0.36213E+02  0.00000E+00  0.00000E+00  0.36213E+02  0.00000E+00  0.00000E+00
   10.5890   2.6100  21.0000  0.36034E+02  0.36077E+02  0.00000E+00  0.00000E+00  0.36077E+02  0.00000E+00  0.00000E+00
   10.5890   2.6200  21.0000  0.35898E+02  0.35941E+02  0.00000E+00  0.00000E+00  0.35941E+02  0.00000E+00  0.00000E+00
   10.5890   2.6300  21.0000  0.35761E+02  0.35805E+02  0.00000E+00  0.00000E+00  0.35805E+02  0.00000E+00  0.00000E+00
   10.5890   2.6400  21.0000  0.35625E+02  0.35668E+02  0.00000E+00  0.00000E+00  0.35668E+02  0.00000E+00  0.00000E+00
   10.5890   2.6500  21.0000  0.35488E+02  0.35532E+02  0.00000E+00  0.00000E+00  0.35532E+02  0.00000E+00  0.00000E+00
   10.5890   2.6600  21.0000  0.35350E+02  0.35394E+02  0.00000E+00  0.00000E+00  0.35394E+02  0.00000E+00  0.00000E+00
   10.5890   2.6700  21.0000  0.35213E+02  0.35256E+02  0.00000E+00  0.00000E+00  0.35256E+02  0.00000E+00  0.00000E+00
