                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.7500  21.0000  0.55134E+01  0.55134E+01  0.00000E+00  0.00000E+00  0.55134E+01  0.00000E+00  0.00000E+00
   10.5890   2.7600  21.0000  0.54908E+01  0.54908E+01  0.00000E+00  0.00000E+00  0.54908E+01  0.00000E+00  0.00000E+00
   10.5890   2.7700  21.0000  0.54682E+01  0.54682E+01  0.00000E+00  0.00000E+00  0.54682E+01  0.00000E+00  0.00000E+00
   10.5890   2.7800  21.0000  0.54456E+01  0.54456E+01  0.00000E+00  0.00000E+00  0.54456E+01  0.00000E+00  0.00000E+00
   10.5890   2.7900  21.0000  0.54230E+01  0.54230E+01  0.00000E+00  0.00000E+00  0.54230E+01  0.00000E+00  0.00000E+00
   10.5890   2.8000  21.0000  0.54004E+01  0.54004E+01  0.00000E+00  0.00000E+00  0.54004E+01  0.00000E+00  0.00000E+00
   10.5890   2.8100  21.0000  0.53777E+01  0.53777E+01  0.00000E+00  0.00000E+00  0.53777E+01  0.00000E+00  0.00000E+00
   10.5890   2.8200  21.0000  0.53551E+01  0.53551E+01  0.00000E+00  0.00000E+00  0.53551E+01  0.00000E+00  0.00000E+00
   10.5890   2.8300  21.0000  0.53325E+01  0.53325E+01  0.00000E+00  0.00000E+00  0.53325E+01  0.00000E+00  0.00000E+00
   10.5890   2.8400  21.0000  0.53098E+01  0.53098E+01  0.00000E+00  0.00000E+00  0.53098E+01  0.00000E+00  0.00000E+00
   10.5890   2.8500  21.0000  0.52871E+01  0.52871E+01  0.00000E+00  0.00000E+00  0.52871E+01  0.00000E+00  0.00000E+00
   10.5890   2.8600  21.0000  0.52644E+01  0.52644E+01  0.00000E+00  0.00000E+00  0.52644E+01  0.00000E+00  0.00000E+00
   10.5890   2.8700  21.0000  0.52418E+01  0.52418E+01  0.00000E+00  0.00000E+00  0.52418E+01  0.00000E+00  0.00000E+00
   10.5890   2.8800  21.0000  0.52191E+01  0.52191E+01  0.00000E+00  0.00000E+00  0.52191E+01  0.00000E+00  0.00000E+00
   10.5890   2.8900  21.0000  0.51963E+01  0.51963E+01  0.00000E+00  0.00000E+00  0.51963E+01  0.00000E+00  0.00000E+00
   10.5890   2.9000  21.0000  0.51736E+01  0.51736E+01  0.00000E+00  0.00000E+00  0.51736E+01  0.00000E+00  0.00000E+00
   10.5890   2.9100  21.0000  0.51509E+01  0.51509E+01  0.00000E+00  0.00000E+00  0.51509E+01  0.00000E+00  0.00000E+00
   10.5890   2.9200  21.0000  0.51282E+01  0.51282E+01  0.00000E+00  0.00000E+00  0.51282E+01  0.00000E+00  0.00000E+00
   10.5890   2.9300  21.0000  0.51055E+01  0.51055E+01  0.00000E+00  0.00000E+00  0.51055E+01  0.00000E+00  0.00000E+00
   10.5890   2.9400  21.0000  0.50828E+01  0.50828E+01  0.00000E+00  0.00000E+00  0.50828E+01  0.00000E+00  0.00000E+00
   10.5890   2.9500  21.0000  0.50601E+01  0.50601E+01  0.00000E+00  0.00000E+00  0.50601E+01  0.00000E+00  0.00000E+00
   10.5890   2.9600  21.0000  0.50374E+01  0.50374E+01  0.00000E+00  0.00000E+00  0.50374E+01  0.00000E+00  0.00000E+00
   10.5890   2.9700  21.0000  0.50146E+01  0.50146E+01  0.00000E+00  0.00000E+00  0.50146E+01  0.00000E+00  0.00000E+00
   10.5890   2.9800  21.0000  0.49919E+01  0.49919E+01  0.00000E+00  0.00000E+00  0.49919E+01  0.00000E+00  0.00000E+00
   10.5890   2.9900  21.0000  0.49692E+01  0.49692E+01  0.00000E+00  0.00000E+00  0.49692E+01  0.00000E+00  0.00000E+00
   10.5890   3.0000  21.0000  0.49465E+01  0.49465E+01  0.00000E+00  0.00000E+00  0.49465E+01  0.00000E+00  0.00000E+00
   10.5890   3.0100  21.0000  0.49238E+01  0.49238E+01  0.00000E+00  0.00000E+00  0.49238E+01  0.00000E+00  0.00000E+00
   10.5890   3.0200  21.0000  0.49011E+01  0.49011E+01  0.00000E+00  0.00000E+00  0.49011E+01  0.00000E+00  0.00000E+00
   10.5890   3.0300  21.0000  0.48785E+01  0.48785E+01  0.00000E+00  0.00000E+00  0.48785E+01  0.00000E+00  0.00000E+00
   10.5890   3.0400  21.0000  0.48558E+01  0.48558E+01  0.00000E+00  0.00000E+00  0.48558E+01  0.00000E+00  0.00000E+00
   10.5890   3.0500  21.0000  0.48331E+01  0.48331E+01  0.00000E+00  0.00000E+00  0.48331E+01  0.00000E+00  0.00000E+00
   10.5890   3.0600  21.0000  0.48104E+01  0.48104E+01  0.00000E+00  0.00000E+00  0.48104E+01  0.00000E+00  0.00000E+00
   10.5890   3.0700  21.0000  0.47878E+01  0.47878E+01  0.00000E+00  0.00000E+00  0.47878E+01  0.00000E+00  0.00000E+00
   10.5890   3.0800  21.0000  0.47651E+01  0.47651E+01  0.00000E+00  0.00000E+00  0.47651E+01  0.00000E+00  0.00000E+00
   10.5890   3.0900  21.0000  0.47425E+01  0.47425E+01  0.00000E+00  0.00000E+00  0.47425E+01  0.00000E+00  0.00000E+00
   10.5890   3.1000  21.0000  0.47199E+01  0.47199E+01  0.00000E+00  0.00000E+00  0.47199E+01  0.00000E+00  0.00000E+00
   10.5890   3.1100  21.0000  0.46973E+01  0.46973E+01  0.00000E+00  0.00000E+00  0.46973E+01  0.00000E+00  0.00000E+00
   10.5890   3.1200  21.0000  0.46747E+01  0.46747E+01  0.00000E+00  0.00000E+00  0.46747E+01  0.00000E+00  0.00000E+00
   10.5890   3.1300  21.0000  0.46522E+01  0.46522E+01  0.00000E+00  0.00000E+00  0.46522E+01  0.00000E+00  0.00000E+00
   10.5890   3.1400  21.0000  0.46296E+01  0.46296E+01  0.00000E+00  0.00000E+00  0.46296E+01  0.00000E+00  0.00000E+00
   10.5890   3.1500  21.0000  0.46071E+01  0.46071E+01  0.00000E+00  0.00000E+00  0.46071E+01  0.00000E+00  0.00000E+00
   10.5890   3.1600  21.0000  0.45846E+01  0.45846E+01  0.00000E+00  0.00000E+00  0.45846E+01  0.00000E+00  0.00000E+00
   10.5890   3.1700  21.0000  0.45621E+01  0.45621E+01  0.00000E+00  0.00000E+00  0.45621E+01  0.00000E+00  0.00000E+00
   10.5890   3.1800  21.0000  0.45396E+01  0.45396E+01  0.00000E+00  0.00000E+00  0.45396E+01  0.00000E+00  0.00000E+00
   10.5890   3.1900  21.0000  0.45172E+01  0.45172E+01  0.00000E+00  0.00000E+00  0.45172E+01  0.00000E+00  0.00000E+00
   10.5890   3.2000  21.0000  0.44948E+01  0.44948E+01  0.00000E+00  0.00000E+00  0.44948E+01  0.00000E+00  0.00000E+00
   10.5890   3.2100  21.0000  0.44725E+01  0.44725E+01  0.00000E+00  0.00000E+00  0.44725E+01  0.00000E+00  0.00000E+00
